Year;1.Battery_EV;1.Other_powertrain_ICEV;2.Battery_EV;2.Other_powertrain_ICEV;3.Battery_EV;3.Other_powertrain_ICEV;4.Battery_EV;4.Other_powertrain_ICEV;5.Battery_EV;5.Other_powertrain_ICEV
2010;0.0000;12.8065;0.0000;12.8065;0.0000;12.8065;0.0000;12.8065;0.0000;12.8065
2011;0.0001;13.0393;0.0001;13.0393;0.0001;13.0393;0.0001;13.0393;0.0001;13.0393
2012;0.0003;13.2795;0.0003;13.2795;0.0003;13.2795;0.0003;13.2795;0.0003;13.2795
2013;0.0008;13.5006;0.0008;13.5006;0.0008;13.5006;0.0008;13.5006;0.0008;13.5006
2014;0.0019;13.6803;0.0019;13.6803;0.0019;13.6803;0.0019;13.6803;0.0019;13.6803
2015;0.0041;13.7982;0.0041;13.7982;0.0041;13.7982;0.0041;13.7982;0.0041;13.7982
2016;0.0081;13.8370;0.0081;13.8370;0.0081;13.8370;0.0081;13.8370;0.0081;13.8370
2017;0.0149;13.7892;0.0149;13.7892;0.0149;13.7892;0.0149;13.7892;0.0149;13.7892
2018;0.0256;13.6652;0.0256;13.6652;0.0256;13.6652;0.0256;13.6652;0.0256;13.6652
2019;0.0416;13.4992;0.0416;13.4992;0.0416;13.4992;0.0416;13.4992;0.0416;13.4992
2020;0.0642;13.3424;0.0645;13.3421;0.0642;13.3424;0.0642;13.3424;0.0645;13.3421
2021;0.0949;13.2517;0.0964;13.2502;0.0949;13.2510;0.0949;13.2503;0.0962;13.2489
2022;0.1354;13.2712;0.1398;13.2668;0.1353;13.2686;0.1350;13.2654;0.1392;13.2613
2023;0.1877;13.4187;0.1988;13.4076;0.1871;13.4115;0.1864;13.4023;0.1970;13.3918
2024;0.2542;13.6813;0.2791;13.6564;0.2528;13.6639;0.2510;13.6415;0.2744;13.6181
2025;0.3379;14.0212;0.3883;13.9709;0.3348;13.9840;0.3308;13.9356;0.3774;13.8889
2026;0.4423;14.3890;0.5354;14.2959;0.4359;14.3169;0.4277;14.2229;0.5130;14.1376
2027;0.5699;14.7368;0.7292;14.5775;0.5581;14.6091;0.5426;14.4425;0.6868;14.2984
2028;0.7227;15.0267;0.9762;14.7731;0.7020;14.8181;0.6754;14.5470;0.9018;14.3205
2029;0.9008;15.2342;1.2797;14.8553;0.8671;14.9180;0.8245;14.5102;1.1579;14.1767
2030;1.1037;15.3478;1.6394;14.8121;1.0519;14.8996;0.9879;14.3295;1.4522;13.8652
2031;1.3304;15.3667;2.0529;14.6441;1.2545;14.7685;1.1639;14.0230;1.7803;13.4066
2032;1.5801;15.2974;2.5169;14.3606;1.4737;14.5397;1.3520;13.6224;2.1386;12.8359
2033;1.8528;15.1515;3.0279;13.9764;1.7088;14.2333;1.5527;13.1639;2.5242;12.1924
2034;2.1483;14.9424;3.5818;13.5089;1.9594;13.8696;1.7668;12.6802;2.9347;11.5122
2035;2.4661;14.6834;4.1723;12.9772;2.2244;13.4664;1.9944;12.1953;3.3662;10.8236
2036;2.8042;14.3867;4.7899;12.4010;2.5018;13.0379;2.2347;11.7232;3.8118;10.1461
2037;3.1596;14.0627;5.4224;11.7999;2.7885;12.5950;2.4850;11.2691;4.2621;9.4920
2038;3.5286;13.7194;6.0565;11.1914;3.0810;12.1453;2.7420;10.8331;4.7065;8.8686
2039;3.9075;13.3630;6.6808;10.5896;3.3758;11.6946;3.0023;10.4125;5.1357;8.2792
2040;4.2931;12.9979;7.2878;10.0033;3.6699;11.2466;3.2629;10.0043;5.5433;7.7238
2041;4.6831;12.6271;7.8744;9.4358;3.9614;10.8035;3.5215;9.6060;5.9272;7.2003
2042;5.0760;12.2522;8.4421;8.8860;4.2488;10.3669;3.7768;9.2160;6.2883;6.7045
2043;5.4706;11.8742;8.9946;8.3502;4.5315;9.9373;4.0280;8.8335;6.6302;6.2313
2044;5.8668;11.4936;9.5366;7.8238;4.8092;9.5148;4.2749;8.4577;6.9565;5.7761
2045;6.2647;11.1101;10.0722;7.3026;5.0824;9.0992;4.5177;8.0882;7.2709;5.3350
2046;6.6650;10.7229;10.6041;6.7838;5.3516;8.6895;4.7570;7.7240;7.5758;4.9052
2047;7.0688;10.3310;11.1342;6.2656;5.6178;8.2847;4.9936;7.3642;7.8729;4.4849
2048;7.4771;9.9333;11.6634;5.7470;5.8820;7.8839;5.2285;7.0079;8.1631;4.0733
2049;7.8908;9.5288;12.1919;5.2276;6.1449;7.4861;5.4621;6.6543;8.4468;3.6697
2050;8.3102;9.1172;12.7199;4.7075;6.4068;7.0910;5.6949;6.3031;8.7243;3.2738
